
2024/06/05 (13:11:58) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)

2024/06/05 (13:12:03) | ===> btop++ v.1.3.2
2024/06/05 (13:12:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/05 (13:12:03) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/05 (13:12:03) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/05 (13:12:03) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/05 (13:12:03) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/05 (13:12:03) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/05 (13:12:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/05 (13:12:03) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/05 (14:31:47) | INFO: Logger set to INFO
2024/06/05 (14:31:47) | INFO: Logger set to DEBUG
2024/06/05 (14:31:57) | DEBUG: Writing new config file
2024/06/05 (14:31:57) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)
2024/06/05 (14:31:57) | INFO: Quitting! Runtime: 01:19:54

2024/06/05 (14:32:00) | ===> btop++ v.1.3.2
2024/06/05 (14:32:00) | INFO: Logger set to DEBUG
2024/06/05 (14:32:00) | DEBUG: Setting LC_ALL=en_US.utf8
2024/06/05 (14:32:00) | INFO: Running on /dev/pts/0
2024/06/05 (14:32:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/05 (14:32:00) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/05 (14:32:00) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/05 (14:32:00) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/05 (14:32:00) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/05 (14:32:00) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/05 (14:32:00) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/05 (14:32:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/05 (14:32:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/05 (14:32:00) | DEBUG: Shared::init() : Initialized.
2024/06/05 (14:32:00) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/06/05 (14:32:04) | DEBUG: Writing new config file
2024/06/05 (14:32:04) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)
2024/06/05 (14:32:04) | INFO: Quitting! Runtime: 00:00:04

2024/06/05 (14:32:07) | ===> btop++ v.1.3.2
2024/06/05 (14:32:07) | INFO: Logger set to DEBUG
2024/06/05 (14:32:07) | DEBUG: Setting LC_ALL=en_US.utf8
2024/06/05 (14:32:07) | INFO: Running on /dev/pts/0
2024/06/05 (14:32:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/05 (14:32:07) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/05 (14:32:07) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/05 (14:32:07) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/05 (14:32:07) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/05 (14:32:07) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/05 (14:32:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/05 (14:32:07) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/05 (14:32:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/05 (14:32:07) | DEBUG: Shared::init() : Initialized.
2024/06/05 (14:32:07) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/06/05 (14:35:58) | DEBUG: Writing new config file
2024/06/05 (14:35:58) | INFO: Quitting! Runtime: 00:03:51

2024/06/05 (14:37:24) | ===> btop++ v.1.3.2
2024/06/05 (14:37:24) | INFO: Logger set to DEBUG
2024/06/05 (14:37:24) | DEBUG: Setting LC_ALL=en_US.utf8
2024/06/05 (14:37:24) | INFO: Running on /dev/pts/1
2024/06/05 (14:37:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/05 (14:37:24) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/05 (14:37:24) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/05 (14:37:24) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/05 (14:37:24) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/05 (14:37:24) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/05 (14:37:24) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/05 (14:37:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/05 (14:37:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/05 (14:37:24) | DEBUG: Shared::init() : Initialized.
2024/06/05 (14:37:24) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/06/05 (14:37:40) | INFO: Quitting! Runtime: 00:00:16

2024/06/16 (14:58:54) | ===> btop++ v.1.3.2
2024/06/16 (14:58:54) | INFO: Logger set to DEBUG
2024/06/16 (14:58:54) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/16 (14:58:54) | INFO: Running on /dev/pts/2
2024/06/16 (14:58:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/16 (14:58:54) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/16 (14:58:54) | DEBUG: Shared::init() : Initialized.
2024/06/16 (14:58:54) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme

2024/06/16 (17:00:30) | ===> btop++ v.1.3.2
2024/06/16 (17:00:30) | INFO: Logger set to DEBUG
2024/06/16 (17:00:30) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/16 (17:00:30) | INFO: Running on /dev/pts/2
2024/06/16 (17:00:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/16 (17:00:30) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/16 (17:00:30) | DEBUG: Shared::init() : Initialized.
2024/06/16 (17:00:30) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/06/16 (17:00:42) | INFO: Quitting! Runtime: 00:00:12

2024/06/16 (17:00:49) | ===> btop++ v.1.3.2
2024/06/16 (17:00:49) | INFO: Logger set to DEBUG
2024/06/16 (17:00:49) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/16 (17:00:49) | INFO: Running on /dev/pts/6
2024/06/16 (17:00:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/16 (17:00:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/16 (17:00:49) | DEBUG: Shared::init() : Initialized.
2024/06/16 (17:00:49) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme

2024/06/16 (17:00:57) | ===> btop++ v.1.3.2
2024/06/16 (17:00:57) | INFO: Logger set to DEBUG
2024/06/16 (17:00:57) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/16 (17:00:57) | INFO: Running on /dev/pts/2
2024/06/16 (17:00:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/16 (17:00:57) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/16 (17:00:57) | DEBUG: Shared::init() : Initialized.
2024/06/16 (17:00:57) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/06/16 (17:01:09) | INFO: Quitting! Runtime: 00:00:12

2024/06/16 (17:01:38) | ===> btop++ v.1.3.2
2024/06/16 (17:01:38) | INFO: Logger set to DEBUG
2024/06/16 (17:01:38) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/16 (17:01:38) | INFO: Running on /dev/pts/2
2024/06/16 (17:01:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/16 (17:01:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/16 (17:01:38) | DEBUG: Shared::init() : Initialized.
2024/06/16 (17:01:38) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/06/16 (17:07:40) | DEBUG: Writing new config file
2024/06/16 (17:07:40) | INFO: Quitting! Runtime: 00:06:02

2024/06/16 (17:55:31) | ===> btop++ v.1.3.2
2024/06/16 (17:55:31) | INFO: Logger set to DEBUG
2024/06/16 (17:55:31) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/16 (17:55:31) | INFO: Running on /dev/pts/0
2024/06/16 (17:55:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/16 (17:55:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/16 (17:55:31) | DEBUG: Shared::init() : Initialized.
